name,capacity,town,population,roofed,latitude,longitude
Teatro(Institución Provincial Fernando Quiñones) de Cádiz,584,Cádiz,110914,True,36.53633115,-6.292698665195678
Salón Multiusos(Centro Cultural) de Castuera,235,Castuera,5567,True,38.72062876213938,-5.547125849922155
Teatro Chapí de Villena,864,Villena,34144,True,38.63087169226036,-0.8667017289886495
Teatro Castelar de Elda,750,Elda,53818,True,38.47966600235489,-0.7925382779142175
Teatro Cine Monumental de Los Santos de Maimona,776,Los Santos de Maimona,8096,True,38.44762661848007,-6.379945143263946
Salón de Actos(Casa de Cultura) de Pozuelo de Alarcón,263,Pozuelo de Alarcón,89378,True,40.43706691154858,-3.818046935887985
Salón de Actos(Centro Cultural Federico García Lorca) de Rivas Vaciamadrid,190,Rivas-Vaciamadrid,101949,True,40.3553656,-3.5478518641274586
Salón de Actos(Centro Cívico) de San Martín de la Vega,280,San Martín de la Vega,20304,True,40.211122,-3.5745488
Sala Gurdulú de Leganés,91,Leganés,194084,True,40.3254847,-3.7624681
Salón de Actos(Centro Cultural) de Griñón,280,Griñón,10087,True,40.2146845,-3.85287815
Salón de Actos(Casa de la Cultura) de Boadilla del Monte,282,Boadilla del Monte,65839,True,40.4064534,-3.875841166290325
Auditorio(Escuela de Música Manuel de Falla) de Alcorcón,300,Alcorcón,173625,True,40.35510772348511,-3.8164078987451857
Salón de Actos(Casa de la Cultura) de Olivenza,300,Olivenza,11776,True,38.68418562681565,-7.0983648423609065
Auditorio Municipal de Olivenza,1394,Olivenza,11776,False,38.6852445098836,-7.097685191112723
Teatro Cine Balboa de Jerez de los Caballeros,653,Jerez de los Caballeros,9147,True,38.322523972266346,-6.76714960559256
Sala Principal(Auditorio-Palacio de Congresos Príncipe Felipe) de Oviedo,1504,Oviedo,220543,True,43.35755585,-5.851961989986048
Sala Polivalente(Auditorio-Palacio de Congresos Príncipe Felipe) de Oviedo,535,Oviedo,220543,True,43.35755585,-5.851961989986048
Sala de Música de Cámara(Auditorio-Palacio de Congresos Príncipe Felipe) de Oviedo,404,Oviedo,220543,True,43.35755585,-5.851961989986048
