name,town,capacity,roofed,latitude,longitude,url
Teatro Centro de Navalcarnero,,338,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=118
Auditorio Joaquín Rodrigo(Centro Cultural Isabel de Farnesio) de Aranjuez,Aranjuez,404,True,40.0328095,-3.60177,https://www.proyectomire.org/web/datosrecinto.php?id=119
Teatro Municipal José María Rodero de Torrejón de Ardoz,,505,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=120
Teatro Sanpol de Madrid,Madrid,532,True,40.423949050000004,-3.7269810638801273,https://www.proyectomire.org/web/datosrecinto.php?id=121
Teatro Cervantes de Almería,Almería,500,True,36.83729150306178,-2.4637155484489277,https://www.proyectomire.org/web/datosrecinto.php?id=122
Teatro Martín Recuerda(Casa de la Cultura) de Almuñécar,Almuñécar,456,True,36.73525146909017,-3.6898596729351976,https://www.proyectomire.org/web/datosrecinto.php?id=123
La Nube(Palacio de Exposiciones y Congresos) de Granada,Granada,638,False,37.16477937694751,-3.600357231174426,https://www.proyectomire.org/web/datosrecinto.php?id=124
Teatro Municipal Alameda de Sevilla,Sevilla,416,True,37.4019118,-5.9945602404816345,https://www.proyectomire.org/web/datosrecinto.php?id=125
Teatro Guimerá de Santa Cruz de Tenerife,Santa Cruz de Tenerife,854,True,28.46547115,-16.250448141433118,https://www.proyectomire.org/web/datosrecinto.php?id=126
Sala Sinfónica(Auditorio de Tenerife Adán Martín) de Santa Cruz de Tenerife,,1616,True,0,0,https://www.proyectomire.org/web/datosrecinto.php?id=127
Zornotza Aretoa de Amorebieta-Etxano,Amorebieta-Etxano,363,True,43.219900349999996,-2.73198635,https://www.proyectomire.org/web/datosrecinto.php?id=129
Teatre Auditori(Centre Cultural Sant Cugat) de Sant Cugat del Vallès,Sant Cugat del Vallès,920,True,41.4694664,2.0888249471264366,https://www.proyectomire.org/web/datosrecinto.php?id=130
Teatre Guasch de Barcelona,,310,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=131
Teatre Borràs de Barcelona,Barcelona,737,True,41.3888477,2.1735904,https://www.proyectomire.org/web/datosrecinto.php?id=132
Teatre Grec de Barcelona,,1950,False,,,https://www.proyectomire.org/web/datosrecinto.php?id=133
Teatre Josep María de Sagarra de Santa Coloma de Gramanet,Santa Coloma de Gramenet,550,True,41.45140575,2.20534255,https://www.proyectomire.org/web/datosrecinto.php?id=134
Palau de la Música Catalana de Barcelona,Badalona,2138,True,41.44852275,2.24922325,https://www.proyectomire.org/web/datosrecinto.php?id=135
Salón de Actos(Casa de Cultura) de Villarrobledo,Villarrobledo,320,True,39.26269694052307,-2.606138365608421,https://www.proyectomire.org/web/datosrecinto.php?id=137
Teatro Cine Archena Parque de Archena,Archena,600,True,38.1163979711492,-1.297704787288487,https://www.proyectomire.org/web/datosrecinto.php?id=138
Auditorio Municipal Tierno Galván de Alhama de Murcia,Alhama de Murcia,1000,False,37.85175255,-1.43548735,https://www.proyectomire.org/web/datosrecinto.php?id=139
Teatro Municipal Juan Bernabé de Lebrija,Lebrija,467,True,36.91797812090889,-6.063854026722788,https://www.proyectomire.org/web/datosrecinto.php?id=140
Gran Teatro de Córdoba,Córdoba,946,True,37.88909667531115,-4.782753128059427,https://www.proyectomire.org/web/datosrecinto.php?id=141
Teatro Cine Municipal de Icod de los Vinos,,682,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=142
Teatro Victoria Eugenia de San Sebastián/Donostia,Donostia / San Sebastián,910,True,43.32191495458771,-1.9798594946474415,https://www.proyectomire.org/web/datosrecinto.php?id=144
Teatro Principal de San Sebastián/Donostia,,500,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=145
Auditorio Municipal(Centro Sociocultural) de L´Eliana,l'Eliana,640,True,39.56670329997598,-0.5341578072454298,https://www.proyectomire.org/web/datosrecinto.php?id=146
Teatre-Auditori Camp de Mart de Tarragona,Tarragonès,1787,True,41.1739465975855,1.2706855685144918,https://www.proyectomire.org/web/datosrecinto.php?id=147
Teatro Lope de Vega de Sevilla,,733,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=148
Centro Cultural de la Villa de Ingenio,Ingenio,514,True,27.91940343255637,-15.444939159857656,https://www.proyectomire.org/web/datosrecinto.php?id=149
Ermua Antzokia de Ermua,,600,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=151
Herriko Antzokia de Elgoibar,,388,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=152
Teatre Municipal Cal Bolet de Vilafranca del Penedès,Vilafranca del Penedès,386,True,41.34407409592663,1.7000095897090184,https://www.proyectomire.org/web/datosrecinto.php?id=153
Teatre de L´Escorxador de Lérida/Lleida,Lleida,310,True,41.611850036500485,0.6151848987368443,https://www.proyectomire.org/web/datosrecinto.php?id=154
Cine Retiro(Societat Recreativa El Retiro) de Sitges,Sitges,701,True,41.2364395,1.8106941,https://www.proyectomire.org/web/datosrecinto.php?id=155
Cinema Rambla de Cambrils,,323,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=156
Teatro Campoamor de Oviedo,Oviedo,1440,True,43.363021496719995,-5.848495735497769,https://www.proyectomire.org/web/datosrecinto.php?id=157
Teatro de Langreo de Langreo,,414,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=158
